,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total Super Group View,,,,,,,,,,,,,,,
Go back to report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"4 Facts of MINERAL WATER (FLAVOURED), ALL BRAND, ALL ITEM in Engen - (FMCG), SA Scan FC - (FMCG) during Latest 52 Wks - w/e 29/09/24",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Sales Value,Sales Value,Sales Value % Chg YA,Sales Value % Chg YA,Share of Trade in Sales Value - Market,Share of Trade in Sales Value - Market,Share of Trade in Sales Value Chg YA - Market,Share of Trade in Sales Value Chg YA - Market,,,,,
CATEGORY,BRAND,ITEM,Engen - (FMCG),SA Scan FC - (FMCG),Engen - (FMCG),SA Scan FC - (FMCG),Engen - (FMCG),SA Scan FC - (FMCG),Engen - (FMCG),SA Scan FC - (FMCG),,,,,
MINERAL WATER (FLAVOURED),,,"R70,592,723","R275,764,611",32.7%,21.4%,25.6%,100.0%,2.2,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),,"R54,393,348","R150,838,694",31.1%,24.2%,36.1%,100.0%,1.9,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA NOT CARBONATED LEMON 750 ML 1,"R17,423,458","R52,793,195",35.6%,32.0%,33.0%,100.0%,0.9,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA NOT CARBONATED BERRY 750 ML 1,"R15,838,054","R45,246,648",30.3%,28.6%,35.0%,100.0%,0.5,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA NOT CARBONATED PEACH 750 ML 1,"R13,497,234","R36,804,541",21.6%,14.5%,36.7%,100.0%,2.2,0.0,,,,,
MINERAL WATER (FLAVOURED),QUICKSHOP & CO,,"R13,039,335","R13,039,335",41.3%,41.3%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),QUICKSHOP & CO,QUICKSHOP & CO CARBONATED VERY BERRY 500 ML 1,"R3,954,331","R3,954,331",7.5%,7.5%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),QUICKSHOP & CO,QUICKSHOP & CO CARBONATED NAARTJIE 500 ML 1,"R3,305,828","R3,305,828",80.1%,80.1%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),QUICKSHOP & CO,QUICKSHOP & CO CARBONATED LEMON & LIME 500 ML 1,"R2,474,690","R2,474,690",,,100.0%,100.0%,100.0,100.0,,,,,
MINERAL WATER (FLAVOURED),OSHEE,,"R2,362,432","R2,901,378",74.3%,76.5%,81.4%,100.0%,(1.0),0.0,,,,,
MINERAL WATER (FLAVOURED),QUICKSHOP & CO,QUICKSHOP & CO CARBONATED APPLE & LITCHI 500 ML 1,"R2,127,342","R2,127,342",,,100.0%,100.0%,100.0,100.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED STRAWBERRY 500 ML 1,"R1,892,757","R4,062,437",16.1%,8.9%,46.6%,100.0%,2.9,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED LITCHI 500 ML 1,"R1,862,958","R3,783,503",14.5%,6.7%,49.2%,100.0%,3.3,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED STRAWBERRY 1500 ML 1,"R1,544,604","R2,778,589",90.6%,54.1%,55.6%,100.0%,10.6,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED LITCHI 1500 ML 1,"R1,278,288","R2,539,371",69.2%,40.8%,50.3%,100.0%,8.4,0.0,,,,,
MINERAL WATER (FLAVOURED),QUICKSHOP & CO,QUICKSHOP & CO NOT CARBONATED LEMON & LIME 500 ML 1,"R1,177,144","R1,177,144",(68.3)%,(68.3)%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),OSHEE,OSHEE NOT CARBONATED RED GRAPE 555 ML 1,"R1,014,789","R1,237,214",70.4%,67.5%,82.0%,100.0%,1.4,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED NAARTJIE 500 ML 1,"R902,867","R2,398,917",,51.7%,37.6%,100.0%,37.6,0.0,,,,,
MINERAL WATER (FLAVOURED),OSHEE,OSHEE NOT CARBONATED LEMON & ORANGE 555 ML 1,"R766,278","R910,142",65.5%,65.3%,84.2%,100.0%,0.1,0.0,,,,,
MINERAL WATER (FLAVOURED),OSHEE,OSHEE NOT CARBONATED POMEGRANATE & LEMON & OTHER FRUIT 555 ML 1,"R553,433","R618,506",89.6%,94.6%,89.5%,100.0%,(2.4),0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),,"R312,012","R102,007,380",(37.7)%,13.9%,0.3%,100.0%,(0.3),0.0,,,,,
MINERAL WATER (FLAVOURED),TSITSIKAMMA CRYSTAL,,"R261,553","R457,742",5.8%,6.5%,57.1%,100.0%,(0.4),0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED NAARTJIE 1500 ML 1,"R130,666","R323,729",(71.2)%,(73.9)%,40.4%,100.0%,3.9,0.0,,,,,
MINERAL WATER (FLAVOURED),SELTZER (SELTZER DRINKS),,"R122,132","R316,240",(66.8)%,(53.6)%,38.6%,100.0%,(15.4),0.0,,,,,
MINERAL WATER (FLAVOURED),TSITSIKAMMA CRYSTAL,TSITSIKAMMA CRYSTAL CARBONATED NAARTJIE 500 ML 1,"R69,787","R88,170",9.2%,(1.4)%,79.2%,100.0%,7.7,0.0,,,,,
MINERAL WATER (FLAVOURED),TSITSIKAMMA CRYSTAL,TSITSIKAMMA CRYSTAL CARBONATED LITCHI 500 ML 1,"R67,364","R111,460",12.4%,11.1%,60.4%,100.0%,0.7,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED LITCHI 500 ML 1,"R50,536","R10,791,897",(24.8)%,12.2%,0.5%,100.0%,(0.2),0.0,,,,,
MINERAL WATER (FLAVOURED),TSITSIKAMMA CRYSTAL,TSITSIKAMMA CRYSTAL CARBONATED BERRY 500 ML 1,"R50,412","R94,675",(6.1)%,(0.1)%,53.2%,100.0%,(3.4),0.0,,,,,
MINERAL WATER (FLAVOURED),TSITSIKAMMA CRYSTAL,TSITSIKAMMA CRYSTAL CARBONATED LEMON 500 ML 1,"R47,535","R67,080",3.0%,(1.9)%,70.9%,100.0%,3.4,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED NAARTJIE 500 ML 1,"R38,889","R8,975,359",(29.2)%,8.8%,0.4%,100.0%,(0.2),0.0,,,,,
MINERAL WATER (FLAVOURED),WATERBERG,,"R38,850","R117,709",597.6%,4.8%,33.0%,100.0%,28.0,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED STRAWBERRY 500 ML 1,"R34,103","R8,775,462",(27.8)%,12.6%,0.4%,100.0%,(0.2),0.0,,,,,
MINERAL WATER (FLAVOURED),SELTZER (SELTZER DRINKS),SELTZER CARBONATED CRANBERRY & RASPBERRY 500 ML 1,"R33,769","R58,395",(60.1)%,(59.3)%,57.8%,100.0%,(1.1),0.0,,,,,
MINERAL WATER (FLAVOURED),SELTZER (SELTZER DRINKS),SELTZER CARBONATED PASSION FRUIT 500 ML 1,"R30,308","R78,309",(60.6)%,(37.7)%,38.7%,100.0%,(22.5),0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,,"R29,484","R2,721,277",,233.1%,1.1%,100.0%,1.1,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED LEMON 500 ML 1,"R27,462","R7,289,931",(40.1)%,8.6%,0.4%,100.0%,(0.3),0.0,,,,,
MINERAL WATER (FLAVOURED),TSITSIKAMMA CRYSTAL,TSITSIKAMMA CRYSTAL CARBONATED MARULA 500 ML 1,"R26,455","R50,051",12.7%,34.3%,52.9%,100.0%,(10.1),0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED WATERMELON 500 ML 1,"R26,146","R6,165,956",(32.7)%,9.4%,0.4%,100.0%,(0.3),0.0,,,,,
MINERAL WATER (FLAVOURED),OSHEE,OSHEE NOT CARBONATED LEMON & LIME 555 ML 1,"R24,782","R97,438",,209.7%,25.4%,100.0%,25.4,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED MARULA 500 ML 1,"R24,683","R4,235,903",(31.2)%,10.8%,0.6%,100.0%,(0.4),0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),,"R24,490","R102,837",,25.5%,23.8%,100.0%,23.8,0.0,,,,,
MINERAL WATER (FLAVOURED),SELTZER (SELTZER DRINKS),SELTZER CARBONATED LEMON & LIME 500 ML 1,"R24,462","R54,927",(61.0)%,(53.5)%,44.5%,100.0%,(8.6),0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED GRANADILLA 500 ML 1,"R22,998","R8,765,771",(25.7)%,15.1%,0.3%,100.0%,(0.1),0.0,,,,,
MINERAL WATER (FLAVOURED),WATERBERG,WATERBERG CARBONATED BERRIES 330 ML 1,"R20,952","R20,952",,,100.0%,100.0%,100.0,100.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED PINEAPPLE 500 ML 1,"R20,178","R6,188,358",(16.3)%,14.5%,0.3%,100.0%,(0.1),0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED WATERMELON 500 ML 1,"R19,912","R41,004",(64.7)%,(75.5)%,48.6%,100.0%,14.8,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED HONEY & MELON 500 ML 1,"R17,697","R4,455,784",(54.0)%,16.2%,0.4%,100.0%,(0.6),0.0,,,,,
MINERAL WATER (FLAVOURED),SELTZER (SELTZER DRINKS),SELTZER CARBONATED NAARTJIE 500 ML 1,"R17,363","R28,362",(66.0)%,(63.7)%,61.2%,100.0%,(4.3),0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED BERRY 500 ML 1,"R16,803","R501,908",,205.9%,3.3%,100.0%,3.3,0.0,,,,,
MINERAL WATER (FLAVOURED),WATERBERG,WATERBERG CARBONATED ICE 500 ML 1,"R14,978","R14,978",880.9%,880.9%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED LITCHI 500 ML 1,"R12,681","R470,812",,227.4%,2.7%,100.0%,2.7,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED LEMON 1500 ML 1,"R11,516","R3,476,891",8.9%,11.2%,0.3%,100.0%,(0.0),0.0,,,,,
MINERAL WATER (FLAVOURED),SELTZER (SELTZER DRINKS),SELTZER CARBONATED PEACH 500 ML 1,"R11,505","R37,285",(76.9)%,(64.5)%,30.9%,100.0%,(16.6),0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED APPLE 500 ML 1,"R10,097","R3,768,638",(36.4)%,13.4%,0.3%,100.0%,(0.2),0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED YOUNGBERRY 500 ML 1,"R8,580","R8,580",(21.0)%,(21.0)%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED BLACK RASPBERRY 502.80 ML 1,"R6,081","R20,697",,39.9%,29.4%,100.0%,29.4,0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED COCONUT & PINEAPPLE 502.80 ML 1,"R6,020","R14,578",,129.8%,41.3%,100.0%,41.3,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED LITCHI 1500 ML 1,"R5,944","R5,631,528",(56.7)%,18.0%,0.1%,100.0%,(0.2),0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED PEACH & NECTARINE 502.80 ML 1,"R5,873","R13,638",,183.5%,43.1%,100.0%,43.1,0.0,,,,,
MINERAL WATER (FLAVOURED),SELTZER (SELTZER DRINKS),SELTZER CARBONATED STRAWBERRY & LIME 500 ML 1,"R4,725","R47,122",(88.9)%,(50.1)%,10.0%,100.0%,(35.2),0.0,,,,,
MINERAL WATER (FLAVOURED),TURBOVITE,,"R3,892","R29,032",24.2%,(19.6)%,13.4%,100.0%,4.7,0.0,,,,,
MINERAL WATER (FLAVOURED),TURBOVITE,TURBOVITE CARBONATED LEMON & LIME 500 ML 1,"R3,857","R13,862",98.9%,(20.9)%,27.8%,100.0%,16.8,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED STRAWBERRY 1500 ML 1,"R3,501","R4,850,479",(73.3)%,12.8%,0.1%,100.0%,(0.2),0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED BLACK CHERRY 502.8 ML 1,"R3,347","R7,551",,7.6%,44.3%,100.0%,44.3,0.0,,,,,
MINERAL WATER (FLAVOURED),VACHERON,,"R3,179","R3,179",(42.1)%,(42.1)%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),OSHEE,OSHEE NOT CARBONATED LEMON & MINT 555 ML 1,"R3,150","R3,150",(33.1)%,(33.1)%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED NAARTJIE 1500 ML 1,"R2,948","R4,714,562",(77.0)%,11.9%,0.1%,100.0%,(0.2),0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED HONEY & MELON 1500 ML 1,"R2,220","R2,462,701",(69.0)%,17.8%,0.1%,100.0%,(0.3),0.0,,,,,
MINERAL WATER (FLAVOURED),VACHERON,VACHERON NOT CARBONATED BLUEBERRY 500 ML 1,"R2,068","R2,068",(34.2)%,(34.2)%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED LEMON & LIME 502.80 ML 1,"R1,948","R5,543",,127.6%,35.1%,100.0%,35.1,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED PINEAPPLE 1500 ML 1,"R1,463","R2,643,404",(38.4)%,9.8%,0.1%,100.0%,(0.0),0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED GRANADILLA 1500 ML 1,"R1,295","R3,411,715",(88.8)%,34.0%,0.0%,100.0%,(0.4),0.0,,,,,
MINERAL WATER (FLAVOURED),WATERBERG,WATERBERG CARBONATED PEACH & APRICOT 500 ML 1,"R1,232","R13,037",4.7%,(19.0)%,9.4%,100.0%,2.1,0.0,,,,,
MINERAL WATER (FLAVOURED),WATERBERG,WATERBERG CARBONATED KIWI & LIME 500 ML 1,"R1,181","R18,601",(13.6)%,(5.2)%,6.3%,100.0%,(0.6),0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED WATERMELON 1500 ML 1,"R1,155","R2,122,738",(81.8)%,37.9%,0.1%,100.0%,(0.4),0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED ORANGE & MANGO 502.80 ML 1,"R1,090","R9,026",,106.9%,12.1%,100.0%,12.1,0.0,,,,,
MINERAL WATER (FLAVOURED),VACHERON,VACHERON NOT CARBONATED RED BERRY 500 ML 1,"R1,045","R1,045",(53.4)%,(53.4)%,100.0%,100.0%,0.0,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED PINEAPPLE 500 ML 1,R881,"R3,468",(98.0)%,(96.9)%,25.4%,100.0%,(13.6),0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED APPLE & MINT 500 ML 1,R879,R879,450.0%,280.8%,100.0%,100.0%,30.8,0.0,,,,,
MINERAL WATER (FLAVOURED),JUST WATER (JUST GOODS),,R836,"R6,266",(87.4)%,(39.9)%,13.3%,100.0%,(50.2),0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED LEMON & LIME 500 ML 1,R791,R936,809.3%,875.6%,84.5%,100.0%,(6.2),0.0,,,,,
MINERAL WATER (FLAVOURED),AQUARTZ (CLOVER),,R614,"R8,512",(88.9)%,(37.5)%,7.2%,100.0%,(33.2),0.0,,,,,
